name,description,stars,forks,language,readme,topic,summary
blogue-canada-ca-blog,Canada.ca blog: Digital Transformation Office | blogue de Canada.ca - Bureau de la transformation numérique,4,9,HTML,[![Contributor Covenant](https://img.shields.io/badge/Contributor%20Covenant-v1.4%20adopted-ff69b4.s,government open-source template,"This GitHub repository is dedicated to the Canada.ca blog, managed by the Digital Transformation Office. It focuses on sharing updates, insights, and resources related to digital transformation initiatives within the Canadian government. The repository appears to adopt the Contributor Covenant v1.4, emphasizing community guidelines for collaboration."
caf-tg,No description,1,0,None specified,# caf-tg,government open-source template,"The repository `caf-tg` appears to be related to a project named ""caf-tg,"" but its README.md lacks descriptive content or detailed information. Without further details, its purpose or functionality cannot be determined."
canada-bot,No description,3,1,JavaScript,"# 🤖 CanadaBot
The Pull Request Bot for Anonymous contributions on GitHub!

---
With PRB0t you can ma",automation,"CanadaBot, also known as PRB0t, is a GitHub Pull Request bot designed to enable anonymous contributions. It facilitates users in making pull requests without revealing their identity, promoting privacy and inclusivity in collaborative coding efforts."
canada-ca-jekyll-boilerplate,A repository set as a Jekyll boilerplate to build a site with the Canada.ca template from GCWeb-Jekyll (wet-boew/gcweb-jekyll),0,6,HTML,[![Contributor Covenant](https://img.shields.io/badge/Contributor%20Covenant-v1.4%20adopted-ff69b4.s,government open-source template,"This GitHub repository provides a Jekyll boilerplate designed to create websites using the Canada.ca template, leveraging the GCWeb-Jekyll framework from the Web Experience Toolkit (WET-BOEW). It offers a structured starting point for developers to build sites that align with Canadian government web standards. The README highlights adherence to the Contributor Covenant for maintaining an inclusive and collaborative environment."
canada-ca.github.io,Stories and insights about the design of Canada.ca,16,14,HTML,"# canada-ca.github.io
Github pages: content to redirect to new blog space(s)

[Alpha Blog](https://c",government architecture,"The GitHub repository ""canada-ca.github.io"" contains content related to the design and development of Canada.ca, including stories and insights. It primarily serves as a redirect to new blog spaces, such as the Alpha Blog. The repository focuses on sharing updates and resources about Canada's government digital presence."
CATS-STAE,Cyber Authentication Technology - Technologie d’authentification électronique,16,1,Shell,"# Cyber Authentication Technology

Cyber authentication allows individuals and businesses to securel",cybersecurity,Cyber Authentication Technology is a repository focused on electronic authentication methods designed to enhance security for individuals and businesses. It provides tools and techniques for secure cyber authentication to protect sensitive information and ensure safe access to digital systems.
ckanext-canada,Government of Canada CKAN Extension - Extension à CKAN du Gouvernement du Canada,0,0,None specified,"# ckanext-canada

Government of Canada CKAN Extension - Extension à CKAN du Gouvernement du Canada

",government open-source template,"The ""ckanext-canada"" repository contains a CKAN extension developed by the Government of Canada to tailor CKAN, an open-source data management platform, to meet specific governmental requirements. It provides enhancements and customizations for improved data management, accessibility, and compliance with Canadian standards. The project is designed to support the publication, sharing, and discovery of government open data."
cloud-guardrails,Minimum guardrails for GC's cloud operationalization framework.,98,32,JavaScript,"# GC Cloud Guardrails

([Français](#mesures-de-protection-du-nuage-du-gc))

**The latest version of ",cybersecurity,"GC Cloud Guardrails is a framework outlining minimum operational standards for utilizing cloud services within the Government of Canada. It provides guidance on security, compliance, and best practices to ensure responsible and effective cloud adoption. The repository serves as a foundational resource for implementing cloud guardrails in alignment with GC policies and regulations."
cloud-guardrails-aws,Tools to support cloud guardrails implementation and compliance checks for AWS.,14,9,Shell,"# GC Cloud Guardrails Checks for AWS

This project will provide tools to validate the implementation",cloud-computing,This GitHub repository offers tools to validate the implementation of cloud guardrails and perform compliance checks for AWS environments. It aims to ensure adherence to best practices and governance standards in cloud deployment.
cloud-guardrails-azure,Tools to support cloud guardrails implementation and compliance checks for Microsoft Azure.,27,9,PowerShell,"# GC Cloud Guardrails Checks for Azure

This project will host the minimum guardrails as part of the",cloud-computing,"The repository provides tools to implement and verify cloud guardrails for Microsoft Azure, focusing on compliance checks to ensure adherence to minimum security and governance standards. It supports organizations in maintaining cloud security practices effectively."
cloud-guardrails-gcp,Recommended configuration guidance for Google Cloud Platform / Conseils de configuration recommandés pour Platforme infonuagique de Google,23,14,Open Policy Agent,"# GC Cloud Guardrails Checks for Google Cloud Platform

This repository will provide the tools requi",cloud-computing,"This repository offers recommended configuration guidance and tools for implementing guardrails and checks on Google Cloud Platform (GCP). It aims to ensure best practices and compliance in GCP environments by providing automated checks and configurations. The repository is designed to help users enhance security, reliability, and governance within their cloud setups."
cloud-guardrails-ibm,Tools to support cloud guardrails implementation and compliance checks for IBM Cloud.,4,4,JavaScript,"# Government of Canada Cloud Guardrails Checks for IBM Cloud

This repository will provide the tools",cloud-computing,"This GitHub repository offers tools to assist with implementing cloud guardrails and compliance checks specifically for IBM Cloud, tailored to align with the Government of Canada’s requirements. It aims to support secure and compliant cloud usage by providing automated solutions for monitoring and enforcing guardrails."
cloud-guardrails-O365,Recommended configuration guidance for Microsoft O365 / Conseils de configuration recommandés pour Microsoft O365,36,11,JavaScript,"# GC Cloud Guardrails for O365

([Français](#mesures-de-sécurité-dinformatique-en-nuage-du-gc-pour-o",cybersecurity,"The GitHub repository provides recommended configuration guidance for Microsoft O365, tailored for Government of Canada (GC) cloud security. It includes best practices, guardrails, and security measures to ensure the secure deployment and management of O365 within cloud environments. The repository is bilingual (English and French) and aims to support organizations in adhering to GC security standards."
cloud-guardrails-oracle,Tools to support cloud guardrails implementation and compliance checks for Oracle.,6,2,HCL,"# GC Cloud Guardrails for Oracle

This project will host the minimum guardrails as part of the GC Cl",cloud-computing,GC Cloud Guardrails for Oracle is a repository that provides tools to implement and enforce cloud guardrails and compliance checks for Oracle Cloud environments. It aims to establish minimum standards for governance and security within cloud implementations. The repository serves as a resource for ensuring adherence to best practices in Oracle Cloud operations.
atomium,The very base theme,9,5,PHP,"# Atomium
[![Build Status](https://drone.fpfis.eu/api/badges/ec-europa/atomium/status.svg?branch=7.x",web development,"Atomium is a foundational theme designed for Drupal, serving as a base for building customized themes. It provides essential tools and structures to streamline theme development. The repository includes a build status badge from Drone CI, indicating active integration and deployment testing."
atomium_europa,A subtheme based on atomium for Europa,0,0,PHP,"# ECL example

Requirements:
-   Node.js >= 6.9.5
-   yarn >= 0.20.3

## Setup

```
yarn
```

## Bui",government open-source template,"This GitHub repository provides a subtheme based on Atomium for Europa, designed as an ECL (Europa Component Library) example. It requires Node.js (version >= 6.9.5) and Yarn (version >= 0.20.3) for setup and build processes. Users can install dependencies using `yarn`, but the README lacks detailed instructions or additional documentation."
aws-fpfis-repo,No description,0,0,Shell,"# Staging repo to test-build RPM packages for AWS

See https://travis-ci.org/ec-europa/aws-fpfis-rep",cloud-computing,"This repository is a staging area for testing the build of RPM packages for AWS. It is associated with a Travis CI pipeline, as indicated by the provided link to Travis CI. The repository appears to be used for development and testing purposes related to AWS packaging."
backtrac-php-client,Backtrac visual regression service - PHP library and phing tasks,2,0,PHP,"# Backtrac PHP client

This projects includes both a client library and a phing helper to trigger vi",automation,Backtrac PHP Client is a library and phing helper designed for managing visual regression testing. It provides tools to integrate and trigger visual regression services directly from PHP projects and build processes. The repository includes a client library and phing tasks to streamline testing workflows.
cloudformation-templates,Centrally managed templates for AWS CloudFormation,0,1,None specified,"# cloudformation-templates - DEPRECATED
Centrally managed templates for AWS CloudFormation

This rep",cloud-computing,"This GitHub repository, **cloudformation-templates**, was intended to provide centrally managed templates for AWS CloudFormation but is now deprecated. It likely served as a centralized source for reusable CloudFormation templates to streamline infrastructure management. Users are advised to seek alternative or updated resources for similar functionality."
Console_Table,Library that makes it easy to build console style tables.,0,0,PHP,README not available,algorithmic impact assessment,"This GitHub repository provides a library designed to simplify the creation of console-style tables. It allows developers to efficiently format and display tabular data in terminal or console environments. Since the README.md file is unavailable, further details on usage or features are not provided."
content-layer-api-specs,No description,1,0,None specified,"# Content layer api definition
",web development,"The repository provides the API definition for a ""Content Layer,"" which likely serves as an interface for managing or interacting with structured content. The README is minimal and does not include detailed information about the functionality, setup, or usage of the project."
cope-api,No description,5,1,JavaScript,"# COPE API

For more information, please read our [Documentation](./docs/README.md).
",automation,"The GitHub repository titled ""COPE API"" provides an API tool, with additional information accessible through its documentation located in the `docs` folder. The README is minimal and does not include specific details about the API's functionality or use cases."
d7-contrib-updater-scripts,"Shell scripts to update core and contrib modules, respecting local changes (""hacks"").",1,1,Shell,"# Module updater scripts

## Purpose

Shell scripts to update core and contrib modules in Drupal 7 s",automation,"This GitHub repository contains shell scripts designed to update core and contributed modules in Drupal 7 while preserving any local changes or customizations (""hacks"") made to the code. Its purpose is to streamline the update process while ensuring modifications are not overwritten."
digit-ict-conf-2016,[DIGIT] DIGITEC Conference 2016,0,0,JavaScript,"# DIGIT-ICT Conference 2016

[![Standard Version](https://img.shields.io/badge/release-standard%20ve",ict-conference,"The DIGIT-ICT Conference 2016 repository appears to relate to materials or resources for the DIGITEC Conference held in 2016, focusing on ICT (Information and Communication Technology). The README.md mentions tools for versioning and release management but provides limited details about the specific contents or purpose of the repository."
digit-ne-varnish,Nexteuropa Varnish - Drupal 7 module.,0,2,PHP,"Table of Contents
- [Nexteuropa Varnish](#nexteuropa-varnish)
    - [Requirements](#requirements)
  ",web development,Nexteuropa Varnish is a Drupal 7 module designed to integrate Varnish caching with the Nexteuropa platform for improved web performance and caching capabilities. The repository includes basic requirements for setup but lacks detailed documentation in the provided README.md content.
digitec,DIGITEC (preview at https://digitec.netlify.app),0,1,JavaScript,"# DIGITEC

Deploys for digitec: https://app.netlify.com/sites/digitec/deploys

## Getting Started (R",web development,"DIGITEC is a web application previewed at https://digitec.netlify.app and deployed via Netlify. The repository provides resources and instructions for getting started with the project. Although the README.md content appears incomplete, it likely contains further technical details or setup instructions for developers."
digitec-news,The event-independent website for news and past events.,0,1,JavaScript,"# DIGITEC News

Deploys logs: https://app.netlify.com/sites/digitec-news2020/overview

## Getting St",historical-news-archiving,"DIGITEC News is a web platform designed to provide news and information about past events, independent of ongoing occurrences. The repository includes deployment logs accessible via Netlify for tracking updates and changes."
drupal-project,":rocket: Composer template for Drupal projects. Quick installation via ""composer create-project drupal-composer/drupal-project""",0,0,PHP,"# Composer template for Drupal projects

[![Build Status](https://travis-ci.org/drupal-composer/drup",web development,This GitHub repository provides a Composer template designed for quick installation and setup of Drupal projects using the command `composer create-project drupal-composer/drupal-project`. It streamlines the process of configuring Drupal environments and dependencies. The template includes pre-configured settings for efficient project management and builds.
DrupalConsole,"The Drupal Console is a CLI tool to generate boilerplate code, interact and debug Drupal 8.",0,0,PHP,"<!-- START doctoc generated TOC please keep comment here to allow auto update -->
<!-- DON'T EDIT TH",automation,"The Drupal Console is a command-line interface (CLI) tool designed for Drupal 8 developers. It facilitates the generation of boilerplate code, simplifies interaction with the Drupal framework, and provides debugging capabilities. This tool enhances developer productivity by automating routine tasks and streamlining workflows."
DrupalDriver,A collection of drivers for controlling Drupal.,0,1,PHP,[![Build Status](https://travis-ci.org/jhedstrom/DrupalDriver.svg?branch=master)](https://travis-ci.,automation,"The GitHub repository provides a set of drivers for interacting with and controlling Drupal, facilitating automated testing and integration workflows. It includes tools for managing Drupal sites programmatically. The repository is actively maintained, with build status tracked via Travis CI."
drupalextension,"An integration layer between Behat, Mink Extension, and Drupal.",1,0,PHP,"# Behat Drupal Extension

The Drupal Extension is an integration layer between [Behat](http://behat.",web development,"The Behat Drupal Extension is an integration layer that connects Behat, Mink Extension, and Drupal to facilitate automated testing for Drupal websites. It provides tools and features tailored for Drupal-specific testing scenarios, enabling efficient behavior-driven development workflows."
drush-commands,No description,0,0,PHP,"# drush-module-cleanup

## Installation

* Put the *.inc file into your $HOME/.drush/ folder
* Run d",automation,"The repository `drush-module-cleanup` provides a Drush script to facilitate module cleanup in Drupal projects. To use it, place the `.inc` file in the `$HOME/.drush/` directory and execute the script. The README lacks detailed usage instructions and examples."
easyrdf,EasyRdf is a PHP library designed to make it easy to consume and produce RDF.,0,0,PHP,"EasyRdf
=======

[![Build Status](https://travis-ci.org/njh/easyrdf.svg?branch=master)](https://trav",semantic-web-development,"EasyRdf is a PHP library designed to simplify working with RDF (Resource Description Framework) data. It enables developers to easily consume, manipulate, and produce RDF data in various formats. The library supports querying and serializing RDF data, making it a useful tool for semantic web applications. Additionally, EasyRdf is actively maintained and includes comprehensive documentation for ease of use."
ec-europa-theme,Drupal 7 theme for the NextEuropa platform ,4,3,JavaScript,"# Ec-Europa theme
Repository containing the drupal theme for the NextEuropa platform.

The Ec-Europa",government open-source template,"The GitHub repository contains the ""Ec-Europa"" Drupal 7 theme designed specifically for the NextEuropa platform. It serves as a customizable theme to support the platform's requirements. The repository provides the necessary files to implement and modify the theme."
ec-europa-theme-tools,Repository containing modules and features related to the ec-europa-,2,1,PHP,"# ec-europa-theme-tools
Repository containing modules and features related to the ec-europa-
",government open-source template,"The ""ec-europa-theme-tools"" repository contains modules and features tailored to the ""ec-europa"" theme. It is designed to support and enhance functionalities related to the theme's implementation and usage. Minimal documentation is provided in the README.md."
ec-europa-tools,Repository for tools/helpers used on the NEXT-Europa project,2,0,PHP,"# EC-EUROPA Tools
Repository for tools/helpers used on the NEXT-Europa project
",government open-source template,"This GitHub repository, titled ""EC-EUROPA Tools,"" contains various tools and helpers developed for the NEXT-Europa project. It serves as a centralized resource to support the project's functionalities and workflows."
ec-nems-platform,"[DIGIT] Modules, features and theme for the nems platform",0,3,PHP,"## NEMS Platform Instructions

To incorporate the nems platform into your subsite project with toolk",government open-source template,"The GitHub repository contains modules, features, and themes for integrating the NEMS platform into subsites. It provides instructions and tools to streamline the incorporation process. The repository is designed to support development for projects utilizing the NEMS platform."
ec-reps-platform,"[COMM] Modules, features and theme for the reps platform",0,4,PHP,"## REPS Platform Instructions

To incorporate the REPS platform into your subsite project you need t",government open-source template,"The GitHub repository contains modules, features, and themes designed for the REPS platform, which supports subsite integration. The README provides instructions to incorporate the REPS platform into subsite projects but appears incomplete. The repository is tailored for enhancing functionality and design within the REPS ecosystem."
ec2-autoscaling,Automatically register new spinned servers into SALT database and give the server a correct naming + set a grain for Availability Zone,3,0,Scheme,"ec2-autoscale-reactor
=====================

This is a reactor formula, which allows the autoscaling",cloud-computing,"The repository, **ec2-autoscale-reactor**, provides a SaltStack reactor formula designed to automatically register newly spun-up EC2 instances into the SALT database. It assigns proper server naming conventions and sets a grain for the Availability Zone. This tool is intended for seamless integration with AWS autoscaling environments, enhancing automation and scalability."
ecas-phpcas-parser,phpcas attribute parser callback for ECAS,2,1,PHP,"#EcasPhpCASParser

## Why
Default parsing of ECAS attributes is currently broken with phpCAS, 
group",ecas-attribute-parsing,"This repository provides a callback function to parse ECAS attributes for phpCAS, addressing issues with the default attribute parsing in phpCAS. It aims to fix broken attribute handling and improve integration with ECAS systems."
ecl-ssg, Node application using gatsby to generate static websites using ECL webcomponents.,1,1,TypeScript,"<p align=""center"">
  <a href=""https://www.gatsbyjs.com/?utm_source=starter&utm_medium=readme&utm_cam",government open-source template,The repository is a Node.js application utilizing Gatsby to create static websites integrated with ECL web components. It leverages Gatsby's features for efficient static site generation and customization. The README highlights Gatsby's capabilities and provides guidance on using the repository for building web projects.
ecl-toolkit,ECL Toolkit,0,3,JavaScript,"# ECL Toolkit

Set of tools we use to build our front-end components.

## Development

### Requireme",web development,"The ECL Toolkit is a collection of tools designed for developing front-end components. It provides resources and utilities to streamline the development process. The README mentions development requirements but does not go into detail about usage, setup, or specific tools included."
ecl-twig,ECL Twig Components,18,5,JavaScript,"# ECL-Twig Library

[![Build Status](https://drone.fpfis.eu/api/badges/ec-europa/ecl-twig/status.svg",government open-source template,"The **ECL-Twig Library** repository provides reusable, Twig-based components for the European Commission's ECL (Europa Component Library). It is designed to facilitate the development of consistent and standardized web interfaces across EU-related projects. The repository includes pre-built templates and follows best practices for accessibility, performance, and design consistency. Continuous integration ensures high-quality code and reliability."
ecl-webcomponents,ECL webcomponents is a new implementation of ECL vanilla components,2,1,TypeScript,"# ECL Web-components

Repository for the implementation and distribution of ECL [Europa component li",web development,ECL Web-components is a repository for the implementation and distribution of Europa Component Library (ECL) vanilla components using web components. It aims to provide reusable and customizable UI elements following ECL standards. The project focuses on modernizing and improving the flexibility of ECL components for web applications.
2021-bootcamp-gds,No description,1,23,TypeScript,"# Bootcamp - Government Digital Services - 2021

A simple web application which implements a Todo li",web development,This repository contains a simple web application developed as part of the Government Digital Services Bootcamp in 2021. The application is designed to implement a basic Todo list functionality. It serves as a learning project for web development concepts.
2022-geekout-gds,No description,2,46,TypeScript,"# Geekout - Government Digital Services - 2022

A simple web application which implements a Todo lis",web development,The repository contains a simple web application designed to implement a Todo list. It was created as part of the Geekout event for Government Digital Services in 2022. The application likely serves as a demonstration or learning project showcasing web development fundamentals.
ACE-Form-Builder,A React component for building Web forms from JSON Schema.,1,0,JavaScript,"react-jsonschema-form
=====================

[![Build Status](https://travis-ci.org/mozilla-services",web development,"The repository, **react-jsonschema-form**, provides a React component that simplifies the process of building web forms using JSON Schema. It supports dynamic form generation, validation, and customization of UI elements. The project is actively maintained and includes tools for seamless integration with React applications. Documentation and examples are provided to assist developers in implementation."
adex-ug,ADEX User Guide,3,1,None specified,"# Asynchronous Data Exchange (ADEX)

> Learn about [ADEX](https://adex.gov.sg)
",cybersecurity,"The repository provides a user guide for Asynchronous Data Exchange (ADEX), a platform designed to facilitate secure and efficient data sharing. It includes resources and documentation to help users understand and implement ADEX. For further details, users can refer to the official website linked in the README."
amazon-linux-consul,Contains ansible playbook for installation of Consul client agent on AWS EMR cluster.,0,0,Shell,"# `amazon-linux-consul`

This repository is now deprecated and has been subsumed into
[`terraform-mo",automation,This repository contains an Ansible playbook for installing the Consul client agent on AWS EMR clusters. It is now deprecated and its functionality has been integrated into the [`terraform-mo`](https://github.com/terraform-mo) repository. Users are advised to refer to the newer repository for continued updates and support.
ansible-rhsso-oracle,This Ansible playbook is to automate the installation to Red Hat Single-Sign-On (RHSSO) in a VM and connect it to an existing Oracle database,0,0,None specified,"# ansible-rhsso-oracle
![](https://img.shields.io/github/release/GovTechSG/ansible-rhsso-oracle.svg?",automation,"This GitHub repository contains an Ansible playbook designed to automate the installation of Red Hat Single Sign-On (RHSSO) on a virtual machine and connect it to an existing Oracle database. The playbook simplifies deployment and configuration, ensuring seamless integration between RHSSO and Oracle. It is suitable for environments requiring secure and streamlined identity management solutions."
apex-cloud-overview,No description,0,0,None specified,README not available,algorithmic impact assessment,"This GitHub repository lacks both a description and a README.md file, meaning there is no information provided about its purpose, functionality, or contents."
apex-proxy-node,No description,3,1,TypeScript,"# Archived

This module is no longer actively maintained and should not be used. Consider implementi",archived-project,This GitHub repository has been archived and is no longer actively maintained. Users are advised not to use it and to consider implementing alternative solutions.
apex-signature-validator,HTTP Signature validator and test client for APEX ,2,2,JavaScript,"![APEX Logo](/assets/color_apex_landscape.png)

# APEX Signature and JOSE Validator

[![Codacy Badge",cybersecurity,"The GitHub repository provides an HTTP Signature validator and test client for APEX. It includes tools for validating APEX signatures and JSON Object Signing and Encryption (JOSE) tokens, aiding developers in ensuring the integrity and security of HTTP requests. The repository features documentation, code examples, and validation utilities, making it a useful resource for implementing secure communication protocols."
apex-signature-validator-server,No description,1,1,JavaScript,"![APEX Logo](/assets/color_apex_landscape.png)

# APEX Signature and JOSE Validator

The Apex Signat",cybersecurity,"The repository appears to be related to ""APEX Signature and JOSE Validator,"" focusing on validating or working with JSON Object Signing and Encryption (JOSE) standards. The README.md contains limited information, mentioning the APEX logo but provides no detailed description of functionality or usage. Further details are required for a complete understanding of the repository's purpose."
attest,No description,1,0,Shell,"# attest

attest is a tool for downloading terraform and verify that the SHASUM matches the archive.",cybersecurity,Attest is a tool designed to download Terraform and verify that the SHASUM of the downloaded archive matches its expected value. This ensures the integrity and authenticity of the Terraform binaries.
base-images,Base images used for internal builds,0,3,Shell,"# Base Containers

[![Build Status](https://github.com/govtechsg/base-images/actions/workflows/build",automation,"This GitHub repository, **Base Containers**, contains base images utilized for internal builds. It includes workflows for automated builds, as indicated by the build status badge linking to GitHub Actions. The repository is intended for maintaining foundational container images to streamline internal development processes."
batch-gen-csr,Generating CSR for L2 Security,5,3,Shell,"# APEX L2 Certificate Generation Scripts

## Generate the CSR
1. Execute git command to get the scri",cybersecurity,The repository contains scripts for generating Certificate Signing Requests (CSRs) specifically for L2 security within the APEX framework. Users are instructed to execute specific Git commands to retrieve the script necessary for the CSR generation process. The README provides basic steps for initiating the CSR generation.
bigchaindb-exploration,No description,0,0,HTML,"# Bigchaindb-Exploration

## Quick start on bigchaindb with docker

https://docs.bigchaindb.com/proj",blockchain-development,"The repository ""Bigchaindb-Exploration"" provides a quick start guide for using BigchainDB with Docker. It includes a link to the official BigchainDB documentation for further reference. The repository appears to focus on facilitating exploration and initial setup of BigchainDB, a blockchain database."
butler-bot,Telegram bot for booking meeting rooms,19,15,JavaScript,"# Butler Bot
[![Build Status](https://travis-ci.org/GovTechSG/butler-bot.svg?branch=master)](https:/",automation,Butler Bot is a Telegram bot designed for booking meeting rooms. It simplifies room reservation processes by integrating scheduling functionalities into the Telegram platform. The repository includes the bot's source code and uses Travis CI for build management.
